nom_entreprise,secteur,taille,ville_siege,site_web,type
DXC Technology SAS,,Grande Entreprise,Rabat,www.dxctechnology.ma,ESN (SSII)
TechSystems SARL,Industrie,Startup,Marrakech,www.techsystems.ma,Editeur de Logiciels
Dell SAS,Assurance,Grande Entreprise,Rabat,www.dell.ma,ESN (SSII)
Intelcia SA,Assurance,PME, Casablanca,www.intelcia.ma,ESN (SSII)
OmniData SA,Industrie,PME,Casablanca,www.omnidata.ma,Cabinet de Conseil
SmartServices SARL,Industrie,Startup,Casablanca,www.smartservices.ma,ESN (SSII)
MarocIngénierie SA,Assurance,PME,Rabat,www.marocingénierie.ma,ESN (SSII)
MaghrebIngénierie SARL,E-commerce,PME,Casablanca,www.maghrebingénierie.ma,ESN (SSII)
Omnidata SARL,Assurance,Startup,Casablanca,www.omnidata.ma,Editeur de Logiciels
MarocSystems Morocco,Industrie,PME,Tanger,www.marocsystems.ma,Cabinet de Conseil
OmniSystems SAS,Assurance,Startup,Tanger,www.omnisystems.ma,ESN (SSII)
OmniSystems SA,Banque/Finance,PME,Casablanca,www.omnisystems.ma,Cabinet de Conseil
MarocData SARL,Télécoms,ETI,Rabat,www.marocdata.ma,ESN (SSII)
SmartData SAS,Secteur Public,PME,Rabat,www.smartdata.ma,ESN (SSII)
Omnidata SARL,E-commerce,PME,Casablanca,,Editeur de Logiciels
SmartSystems SA,Secteur Public,Startup,Kénitra,www.smartsystems.ma,Département IT Interne
DataData SARL,Télécoms,PME,Casablanca,www.datadata.ma,Cabinet de Conseil
MedSolutions SARL,Banque/Finance,Startup,Casablanca,www.medsolutions.ma,Cabinet de Conseil
Sopra Steria SARL,E-commerce,PME,Rabat,www.soprasteria.ma,ESN (SSII)
SmartTechnologies SARL,Banque/Finance,PME,Casablanca,www.smarttechnologies.ma,Cabinet de Conseil
Label'Vie IT SARL,Secteur Public,PME,Casablanca,,Cabinet de Conseil
Capgemini Morocco,Télécoms,Grande Entreprise,Casablanca,www.capgemini.ma,ESN (SSII)
DigitSolutions SA,Secteur Public,Startup,Casablanca,www.digitsolutions.ma,ESN (SSII)
DataServices SARL,Télécoms,Startup,Rabat,www.dataservices.ma,Cabinet de Conseil
TechIngénierie SARL,,Startup,Casablanca,www.techingénierie.ma,ESN (SSII)
MedSystems SARL,Industrie,ETI,Oujda,www.medsystems.ma,Editeur de Logiciels
MaghrebIngénierie SARL,,Grande Entreprise,Casablanca,www.maghrebingénierie.ma,Cabinet de Conseil
AtlasTechnologies SARL,Assurance,Startup,Casablanca,www.atlastechnologies.ma,ESN (SSII)
SidiTechnologies SA,Assurance,Startup,Casablanca,www.siditechnologies.ma,ESN (SSII)
DigitData SARL,Banque/Finance,PME,Casablanca,www.digitdata.ma,Editeur de Logiciels
Inetum Morocco,Assurance,Grande Entreprise,Rabat,www.inetum.ma,ESN (SSII)
MarocSystems SARL,Banque/Finance,PME,Casablanca,,Editeur de Logiciels
DataIngénierie SARL,Assurance,PME,Casablanca,www.dataingénierie.ma,ESN (SSII)
DataSolutions SAS,Secteur Public,Grande Entreprise,Tanger,,Cabinet de Conseil
DigitTechnologies SARL,,PME,Rabat,www.digittechnologies.ma,Cabinet de Conseil
OmniSolutions SAS,E-commerce,Startup,Casablanca,www.omnisolutions.ma,Editeur de Logiciels
MarocSolutions SARL,Assurance,PME,Marrakech,www.marocsolutions.ma,ESN (SSII)
MarocIngénierie SARL,Banque/Finance,PME,Tanger,www.marocingénierie.ma,Cabinet de Conseil
MedData SA,Assurance,Startup,Casablanca,www.meddata.ma,ESN (SSII)
CGI SAS,E-commerce,Grande Entreprise,Casablanca,www.cgi.ma,ESN (SSII)
MedSoft SARL,E-commerce,PME,Casablanca,www.medsoft.ma,Cabinet de Conseil
DigitServices SARL,Télécoms,Grande Entreprise,Casablanca,www.digitservices.ma,ESN (SSII)
MaghrebServices SARL,Assurance,Startup,Kénitra,www.maghrebservices.ma,ESN (SSII)
DXC Technology SA,Secteur Public,Grande Entreprise,Casablanca,,ESN (SSII)
SmartConsulting SARL,Banque/Finance,Startup,Casablanca,www.smartconsulting.ma,ESN (SSII)
TechIngénierie SA,Industrie,PME,Casablanca,www.techingénierie.ma,ESN (SSII)
DataIngénierie SA,,PME,Casablanca,www.dataingénierie.ma,Cabinet de Conseil
DigitSoft SARL,Industrie,ETI,Rabat,,Cabinet de Conseil
DataIngénierie SARL,Industrie,PME,Casablanca,www.dataingénierie.ma,Editeur de Logiciels
TechTechnologies SARL,Télécoms,PME,Casablanca,www.techtechnologies.ma,ESN (SSII)
AtlasSoft SARL,Secteur Public,Grande Entreprise,Rabat,www.atlassoft.ma,Département IT Interne
MarocConsulting SARL,E-commerce,PME,Casablanca,,Editeur de Logiciels
SmartSystems SARL,,PME,Fès,www.smartsystems.ma,ESN (SSII)
TechIngénierie SARL,E-commerce,PME,Casablanca,www.techingénierie.ma,ESN (SSII)
DataTechnologies SARL,Banque/Finance,PME, Casablanca,,Cabinet de Conseil
MaghrebSoft SAS,Secteur Public,ETI,Tanger,,ESN (SSII)
SQLI SA,Banque/Finance,Grande Entreprise,Casablanca,www.sqli.ma,ESN (SSII)
OmniTechnologies SAS,Télécoms,Grande Entreprise,Casablanca,,ESN (SSII)
Alten Morocco,Industrie,Grande Entreprise,Rabat,www.alten.ma,ESN (SSII)
MaghrebData SAS,Banque/Finance,PME,Casablanca,www.maghrebdata.ma,ESN (SSII)
SidiSolutions SA,Industrie,PME,Casablanca,www.sidisolutions.ma,Editeur de Logiciels
AtlasServices SARL,Industrie,Startup,Casablanca,www.atlasservices.ma,Cabinet de Conseil
SmartSystems SARL,Assurance,Grande Entreprise,Casablanca,www.smartsystems.ma,ESN (SSII)
SidiSoft SARL,Banque/Finance,ETI,Rabat,www.sidisoft.ma,ESN (SSII)
M2M Group SARL,E-commerce,Startup,Casablanca,www.m2mgroup.ma,Editeur de Logiciels
Intelcia SARL,Télécoms,PME,Casablanca,www.intelcia.ma,Département IT Interne
Atos Morocco,Secteur Public,Grande Entreprise,Rabat,,ESN (SSII)
MedTechnologies SARL,Secteur Public,Startup,Rabat,www.medtechnologies.ma,ESN (SSII)
MaghrebServices SA,E-commerce,PME,Meknès,www.maghrebservices.ma,Editeur de Logiciels
IBM SAS,Assurance,Grande Entreprise,Casablanca,www.ibm.ma,ESN (SSII)
OmniSoft SARL,Assurance,PME,Casablanca,www.omnisoft.ma,Editeur de Logiciels
SQLI Morocco,Banque/Finance,Grande Entreprise,Casablanca,www.sqli.ma,ESN (SSII)
OmniTechnologies SARL,E-commerce,Grande Entreprise,Casablanca,,ESN (SSII)
M2M Group SARL,Secteur Public,PME,Rabat,www.m2mgroup.ma,ESN (SSII)
SmartConsulting Morocco,Banque/Finance,PME,Casablanca,www.smartconsulting.ma,Editeur de Logiciels
OmniTechnologies SARL,,PME,Rabat,www.omnitechnologies.ma,Editeur de Logiciels
SQLI SAS,Industrie,Grande Entreprise,Casablanca,www.sqli.ma,ESN (SSII)
SidiConsulting SARL,Banque/Finance,PME,Rabat,www.sidiconsulting.ma,Editeur de Logiciels
Capgemini Morocco,,Grande Entreprise,Casablanca,www.capgemini.ma,ESN (SSII)
SidiData SARL,Banque/Finance,Grande Entreprise,Casablanca,www.sididata.ma,ESN (SSII)
Dell Morocco,Assurance,Grande Entreprise,Casablanca,www.dell.ma,ESN (SSII)
MarocIngénierie SARL,E-commerce,PME, Rabat,www.marocingénierie.ma,ESN (SSII)
TechConsulting SARL,Télécoms,PME,Rabat,www.techconsulting.ma,Editeur de Logiciels
DigitSoft SARL,Télécoms,Startup,Casablanca,www.digitsoft.ma,ESN (SSII)
SidiData SARL,Secteur Public,Startup,Casablanca,www.sididata.ma,Cabinet de Conseil
DataSystems SA,Télécoms,Grande Entreprise,Rabat,www.datasystems.ma,Cabinet de Conseil
Oracle Morocco,Secteur Public,Grande Entreprise,Rabat,www.oracle.ma,ESN (SSII)
Oracle SAS,Banque/Finance,Grande Entreprise,Casablanca,,ESN (SSII)
SidiIngénierie Morocco,Industrie,PME,Casablanca,www.sidiingénierie.ma,Département IT Interne
SmartSoft SARL,Assurance,PME,Casablanca,www.smartsoft.ma,ESN (SSII)
MarocConsulting SARL,Télécoms,Startup,Casablanca,,ESN (SSII)
SmartSolutions SARL,,PME,Casablanca,www.smartsolutions.ma,Cabinet de Conseil
AtlasTechnologies SARL,Assurance,PME,Agadir,www.atlastechnologies.ma,ESN (SSII)
MedSystems Morocco,Banque/Finance,PME,Casablanca,www.medsystems.ma,ESN (SSII)
DigitTechnologies SARL,Industrie,PME,Casablanca,www.digittechnologies.ma,ESN (SSII)
Capgemini SA,Banque/Finance,Grande Entreprise,Casablanca,www.capgemini.ma,ESN (SSII)
TechTechnologies SARL,E-commerce,Grande Entreprise,Rabat,www.techtechnologies.ma,Editeur de Logiciels
DataServices SARL,,PME, Casablanca,www.dataservices.ma,Editeur de Logiciels
SmartTechnologies SAS,Télécoms,Grande Entreprise,Casablanca,www.smarttechnologies.ma,Cabinet de Conseil
AtlasServices SARL,,Startup,Casablanca,www.atlasservices.ma,Département IT Interne
TechData SARL,Assurance,ETI,Casablanca,www.techdata.ma,ESN (SSII)
SmartTechnologies SARL,Industrie,Startup,Rabat,www.smarttechnologies.ma,Editeur de Logiciels
SmartTechnologies SA,Banque/Finance,PME,Meknès,www.smarttechnologies.ma,ESN (SSII)
DigitData SARL,Secteur Public,PME,Casablanca,www.digitdata.ma,ESN (SSII)
M2M Group SARL,Banque/Finance,ETI,Casablanca,www.m2mgroup.ma,ESN (SSII)
DataData SARL,E-commerce,PME,Casablanca,www.datadata.ma,ESN (SSII)
MaghrebServices SARL,Industrie,Grande Entreprise,Agadir,www.maghrebservices.ma,Cabinet de Conseil
MaghrebData SARL,Secteur Public,Startup,Oujda,www.maghrebdata.ma,ESN (SSII)
DataIngénierie SARL,Secteur Public,ETI,Casablanca,www.dataingénierie.ma,ESN (SSII)
SidiConsulting SAS,Secteur Public,Grande Entreprise,Casablanca,www.sidiconsulting.ma,ESN (SSII)
MaghrebData SARL,E-commerce,Startup,Tanger,www.maghrebdata.ma,ESN (SSII)
SidiSoft SARL,E-commerce,PME,Casablanca,www.sidisoft.ma,ESN (SSII)
Atos SAS,Banque/Finance,Grande Entreprise,Rabat,www.atos.ma,ESN (SSII)
MaghrebSolutions SARL,Banque/Finance,ETI,Casablanca,www.maghrebsolutions.ma,Cabinet de Conseil
Omnidata SARL,Industrie,PME,Tanger,,Cabinet de Conseil
MedIngénierie SARL,Industrie,PME,Meknès,www.medingénierie.ma,Cabinet de Conseil
AtlasSystems SARL,Banque/Finance,ETI,Casablanca,www.atlassystems.ma,ESN (SSII)
TechData SARL,Assurance,PME,Casablanca,www.techdata.ma,Cabinet de Conseil
SmartTechnologies SAS,Assurance,PME,Casablanca,www.smarttechnologies.ma,ESN (SSII)
TechSoft SARL,Assurance,PME,Casablanca,www.techsoft.ma,ESN (SSII)
DigitSoft SARL,Secteur Public,Startup,Casablanca,www.digitsoft.ma,Cabinet de Conseil
MaghrebIngénierie SARL,Banque/Finance,PME,Casablanca,www.maghrebingénierie.ma,ESN (SSII)
SmartIngénierie SARL,Télécoms,PME,Casablanca,www.smartingénierie.ma,Cabinet de Conseil
SQLI SA,Télécoms,Grande Entreprise,Rabat,www.sqli.ma,ESN (SSII)
SmartConsulting SARL,Secteur Public,PME,Tanger,www.smartconsulting.ma,ESN (SSII)
MaghrebIngénierie SARL,Assurance,Startup,Casablanca,,ESN (SSII)
IBM SA,E-commerce,Grande Entreprise,Casablanca,www.ibm.ma,ESN (SSII)
SmartServices SARL,Secteur Public,PME,CASABLANCA,www.smartservices.ma,Cabinet de Conseil
Dell Morocco,,Grande Entreprise,Casablanca,www.dell.ma,ESN (SSII)
DigitData SARL,Assurance,PME,Rabat,www.digitdata.ma,ESN (SSII)
HPS SARL,Industrie,Startup,Rabat,www.hps.ma,ESN (SSII)
SmartIngénierie SARL,Banque/Finance,PME,Casablanca,www.smartingénierie.ma,Département IT Interne
SmartConsulting SA,,Grande Entreprise,Casablanca,www.smartconsulting.ma,Cabinet de Conseil
AtlasSystems SARL,Banque/Finance,Startup,Rabat,www.atlassystems.ma,ESN (SSII)
Capgemini SAS,Télécoms,Grande Entreprise,Rabat,www.capgemini.ma,ESN (SSII)
CGI SAS,Industrie,Grande Entreprise,Rabat,www.cgi.ma,ESN (SSII)
MedServices SARL,Banque/Finance,PME,Rabat,www.medservices.ma,Editeur de Logiciels
MedServices SARL,Industrie,PME, Casablanca,www.medservices.ma,Editeur de Logiciels
MedConsulting SA,Banque/Finance,Startup,Casablanca,www.medconsulting.ma,ESN (SSII)
MaghrebSolutions SARL,Secteur Public,PME,Rabat,www.maghrebsolutions.ma,Editeur de Logiciels
SmartTechnologies SARL,Assurance,Startup,Casablanca,,Cabinet de Conseil
OmniSolutions SARL,E-commerce,PME,Casablanca,www.omnisolutions.ma,Editeur de Logiciels
DXC Technology SAS,E-commerce,Grande Entreprise,Casablanca,www.dxctechnology.ma,ESN (SSII)
DXC Technology Morocco,Assurance,Grande Entreprise,Casablanca,www.dxctechnology.ma,ESN (SSII)
Oracle SAS,Banque/Finance,Grande Entreprise,Rabat,www.oracle.ma,ESN (SSII)
MedSolutions SARL,E-commerce,PME, Casablanca,www.medsolutions.ma,ESN (SSII)
Intelcia SARL,Assurance,PME,CASABLANCA,,Editeur de Logiciels
MedServices SA,Banque/Finance,PME,Casablanca,www.medservices.ma,ESN (SSII)
TechConsulting SARL,Assurance,PME,Casablanca,www.techconsulting.ma,ESN (SSII)
TechSystems SARL,Télécoms,PME,Casablanca,www.techsystems.ma,Département IT Interne
TechSoft SARL,Industrie,PME,Casablanca,www.techsoft.ma,ESN (SSII)
MedSolutions SAS,Secteur Public,Startup,Casablanca,www.medsolutions.ma,ESN (SSII)
MarocData SARL,Télécoms,Startup,Casablanca,www.marocdata.ma,ESN (SSII)
OmniTechnologies SARL,Assurance,PME,Casablanca,www.omnitechnologies.ma,ESN (SSII)
Inetum SA,Secteur Public,Grande Entreprise,Casablanca,www.inetum.ma,ESN (SSII)
DigitConsulting SARL,E-commerce,Startup,Casablanca,www.digitconsulting.ma,Editeur de Logiciels
SmartServices SA,Assurance,PME,Casablanca,www.smartservices.ma,ESN (SSII)
DXC Technology SA,E-commerce,Grande Entreprise, Rabat,,ESN (SSII)
Inetum Morocco,Télécoms,Grande Entreprise,Casablanca,www.inetum.ma,ESN (SSII)
MaghrebSystems SARL,Industrie,PME,Casablanca,www.maghrebsystems.ma,ESN (SSII)
OmniSoft SARL,Banque/Finance,ETI,Casablanca,,Cabinet de Conseil
CGI SA,Secteur Public,Grande Entreprise,CASABLANCA,www.cgi.ma,ESN (SSII)
Oracle SA,E-commerce,Grande Entreprise,Rabat,www.oracle.ma,ESN (SSII)
TechData SARL,E-commerce,Startup,Casablanca,www.techdata.ma,ESN (SSII)
OmniServices SARL,Assurance,PME,Tanger,,Cabinet de Conseil
TechConsulting Morocco,Banque/Finance,PME,Casablanca,www.techconsulting.ma,ESN (SSII)
DataIngénierie SARL,Télécoms,PME,Casablanca,www.dataingénierie.ma,Editeur de Logiciels
